G,Date,Year,Series,Tm,Home,Opp,GameNum,Result,Diff,GS,MP,FG,FGA,FG.Pct,3P,3PA,3P.Pct,FT,FTA,FT.Pct,RB,AST,STL,BLK,TOV,PF,PTS,GmSc
16,5/31/1989,1989,ECF,CHI,0,DET,5,L ,-9,1,46:00:00,4,8,0.5,0,1,0,10,11,0.909,5,9,1,0,4,3,18,17.2
17,6/2/1989,1989,ECF,CHI,1,DET,6,L ,-9,1,42:00:00,13,26,0.5,1,2,0.5,5,12,0.417,4,13,3,2,8,5,32,20.9
1,4/27/1990,1990,EC1,CHI,1,MIL,1,W ,14,1,44:00:00,15,27,0.556,0,1,0,8,11,0.727,8,7,2,1,7,4,38,25.7
2,4/29/1990,1990,EC1,CHI,1,MIL,2,W ,7,1,44:00:00,12,21,0.571,0,0,,12,14,0.857,9,11,5,1,5,5,36,34.8
3,5/1/1990,1990,EC1,CHI,0,MIL,3,L ,-7,1,46:00:00,20,35,0.571,1,5,0.2,7,9,0.778,9,5,1,2,5,4,48,33.5
4,5/3/1990,1990,EC1,CHI,0,MIL,4,W ,24,1,32:00:00,8,19,0.421,0,0,,9,13,0.692,6,5,2,0,1,3,25,18.8
5,5/7/1990,1990,ECS,CHI,1,PHI,1,W ,11,1,43:00:00,16,30,0.533,2,4,0.5,5,6,0.833,5,6,5,2,4,3,39,31.3
6,5/9/1990,1990,ECS,CHI,1,PHI,2,W ,5,1,43:00:00,18,36,0.5,1,3,0.333,8,8,1,8,7,3,0,2,3,45,35.7
7,5/11/1990,1990,ECS,CHI,0,PHI,3,L ,-6,1,42:00:00,19,34,0.559,4,11,0.364,7,9,0.778,5,5,4,1,5,4,49,35.9
8,5/13/1990,1990,ECS,CHI,0,PHI,4,W ,10,1,42:00:00,16,31,0.516,1,2,0.5,12,13,0.923,6,11,2,2,3,3,45,38.4
9,5/16/1990,1990,ECS,CHI,1,PHI,5,W ,18,1,42:00:00,17,26,0.654,1,3,0.333,2,4,0.5,9,8,6,1,4,2,37,35.8
10,5/20/1990,1990,ECF,CHI,0,DET,1,L ,-9,1,42:00:00,12,27,0.444,2,6,0.333,8,8,1,7,5,3,0,1,3,34,26.7
